tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
9809687,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,0,2,54,-1,1,54,35,4,251
9809728,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,0,1,63,-1,0,62,35,4,251
9809755,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,-2,1,69,-3,0,68,35,4,251
9809782,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,0,2,71,-1,0,70,35,4,251
9809808,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,4,2,71,2,1,71,35,4,251
9809834,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,5,1,66,3,1,66,35,4,251
9809861,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,4,2,64,2,1,64,35,4,251
9809887,0.99,0.01,-0.01,0.12,-14.36,1.25,0.60,6,2,68,4,2,68,35,4,251
9809918,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,9,0,76,7,1,76,35,4,251
9809943,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,8,-2,69,6,-1,69,35,4,251
9809969,0.99,0.01,-0.01,0.12,-14.36,1.26,0.60,5,-1,68,3,0,68,35,4,251
9809996,0.99,0.01,-0.01,0.12,-14.36,1.26,0.60,0,-2,62,0,-2,61,35,4,251
9810023,0.99,0.01,-0.01,0.12,-14.36,1.26,0.60,0,-2,69,0,-3,68,35,4,251
9810049,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,-3,-2,69,-3,-3,68,35,4,251
9810076,0.99,0.01,-0.01,0.12,-14.36,1.26,0.60,4,-2,70,3,-2,70,35,4,251
9810103,0.99,0.01,-0.01,0.12,-14.36,1.26,0.60,3,-3,66,2,-3,66,35,4,251
9810130,0.99,0.01,-0.01,0.12,-14.36,1.26,0.60,3,-7,65,3,-7,64,35,4,251
9810156,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,1,-2,59,0,-2,58,35,4,251
9810184,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,-1,0,52,-1,-1,51,35,4,251
9810210,0.99,0.01,-0.01,0.13,-14.37,1.26,0.60,-2,0,55,-2,-1,54,35,4,251
