tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
29608,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,3,1,19,2,0,19,34,2,134
29618,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,8,1,17,7,0,17,34,2,134
29628,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,8,0,9,7,0,9,34,2,134
29638,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,5,3,3,5,2,3,34,2,134
29648,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,7,9,-2,7,8,-1,34,2,135
29659,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.02,8,8,-3,8,7,-2,34,2,134
29669,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.02,5,9,-1,5,8,0,34,2,134
29680,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.02,3,7,2,3,6,2,34,2,134
29689,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.02,3,4,5,3,3,5,34,2,134
29699,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.02,5,0,10,4,0,10,34,2,134
29739,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.02,3,1,11,3,0,11,34,2,134
29808,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,0,-4,0,0,-3,0,34,2,134
29829,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,0,-2,-13,0,-2,-12,34,2,134
29839,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,1,-6,-5,0,-6,-4,34,2,134
29860,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-3,-2,-6,-3,-1,-6,34,2,134
29929,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,1,0,10,0,0,10,34,2,134
29939,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-2,2,1,-1,2,0,34,2,134
29960,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-5,0,4,-5,0,3,34,2,134
29970,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-1,0,6,-1,0,5,34,2,134
29990,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,1,0,5,0,0,5,34,2,134
30000,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-5,-4,5,-5,-3,4,34,2,134
30040,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-4,6,-3,-3,6,-3,34,2,134
30061,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-1,5,4,0,5,3,34,2,134
30100,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,0,2,10,0,2,9,34,2,134
30179,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,0,2,6,0,2,5,34,2,134
30228,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-5,-4,9,-5,-3,8,34,2,134
30259,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,1,-6,3,0,-6,3,34,2,134
30269,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,2,0,0,1,0,0,34,2,134
30308,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,4,2,11,4,1,11,34,2,134
30329,1.00,-0.00,-0.00,-0.01,1.71,0.11,-0.03,-1,2,7,0,2,6,34,2,134
30339,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.03,-2,2,-1,-1,2,-1,34,2,134
30379,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.03,-4,-1,2,-4,0,1,34,2,134
30408,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.03,-1,-1,0,-1,0,0,34,2,134
30429,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.03,1,3,12,1,2,12,34,2,134
30449,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.03,0,7,0,0,6,0,34,2,134
30479,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,1,7,3,1,6,2,34,2,134
30528,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.03,-3,0,7,-3,0,6,34,2,134
30538,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,0,3,7,0,3,6,34,2,134
30578,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,-2,2,-1,-1,2,-1,34,2,135
30588,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,-2,6,4,-1,6,3,34,2,134
30628,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,-1,-1,9,-1,0,8,34,2,134
30668,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,0,-3,3,0,-2,3,34,2,134
30678,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,3,-3,2,2,-3,2,34,2,134
30718,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.03,7,-5,2,6,-5,2,34,2,134
30758,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,1,8,8,1,7,7,34,2,134
30788,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,0,0,-4,0,0,-3,34,2,134
30838,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,4,-1,-9,3,-1,-8,34,2,134
30848,1.00,-0.00,-0.00,-0.01,1.70,0.11,-0.02,5,-1,-6,4,-1,-5,34,2,135
30878,1.00,-0.00,-0.00,-0.01,1.70,0.10,-0.02,-2,0,6,-2,0,5,34,2,134
30898,1.00,-0.00,-0.00,-0.01,1.70,0.10,-0.02,-1,-2,6,-1,-1,5,34,2,134
30918,1.00,-0.00,-0.00,-0.01,1.70,0.10,-0.03,4,-2,9,3,-2,9,34,2,134
30968,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,2,3,-7,2,2,-6,34,2,134
30988,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,6,1,-12,6,0,-11,34,2,134
30999,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,4,-3,-1,3,-3,0,34,2,134
31029,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,-7,-5,0,-6,-4,34,2,134
31108,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-4,2,1,-3,2,0,34,2,134
31148,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,-2,4,0,-1,4,34,2,134
31158,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,-1,0,0,0,0,34,2,134
31188,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-2,-2,-1,-2,-1,-1,34,2,134
31198,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,-5,0,0,-4,0,34,2,134
31258,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,7,3,-7,7,2,-6,34,2,134
31268,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,8,0,-6,8,0,-5,34,2,134
31279,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,7,1,-2,7,0,-1,34,2,134
31290,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,2,0,2,1,0,2,34,2,134
31301,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,2,-3,5,1,-3,5,34,2,134
31311,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,6,-1,2,5,-1,2,34,2,134
31321,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,2,0,2,1,0,2,34,2,134
31331,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,1,4,0,1,3,34,2,134
31341,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,1,0,0,0,0,34,2,134
31351,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,1,0,0,0,0,34,2,134
31361,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,0,-1,3,0,0,3,34,2,134
31371,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-1,0,4,-1,0,3,34,2,134
31381,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-3,2,2,-2,2,1,34,2,134
31391,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-5,1,0,-4,1,0,34,2,134
31401,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-3,0,-1,-2,0,-1,34,2,134
31411,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-5,0,3,-5,0,2,34,2,134
31421,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-6,5,4,-5,5,3,34,2,134
31432,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-1,5,5,0,5,4,34,2,135
31442,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,2,8,8,2,7,8,34,2,134
31452,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,1,6,4,1,5,3,34,2,134
31462,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-1,0,-2,0,0,-2,34,2,134
31472,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-7,-2,-6,-7,-1,-6,34,2,134
31482,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-5,1,-9,-4,1,-9,34,2,134
31492,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-3,0,-6,-2,0,-6,34,2,134
31502,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-4,1,2,-3,1,1,34,2,134
31512,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-2,0,4,-2,0,3,34,2,134
31522,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-2,3,4,-1,3,3,34,2,134
31532,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-4,2,1,-3,2,0,34,2,134
31542,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-4,3,5,-3,3,4,34,2,135
31552,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-3,2,7,-2,2,6,34,2,134
31562,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-1,0,1,-1,0,0,34,2,134
31572,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-3,0,5,-3,0,4,34,2,134
31582,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-6,-1,-4,-6,0,-4,34,2,135
31592,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-4,-3,-7,-4,-2,-7,34,2,134
31603,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-5,-5,-3,-5,-4,-3,34,2,134
31613,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.03,-3,-3,0,-3,-2,0,34,2,134
31623,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,2,-1,1,1,-1,1,34,2,134
31633,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,2,-2,4,1,-2,4,34,2,134
31643,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,3,-3,3,2,-3,3,34,2,134
31653,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,3,1,4,3,0,4,34,2,134
31663,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,0,2,14,0,2,13,34,2,134
31673,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,0,3,9,0,3,8,34,2,134
31683,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,0,1,14,0,1,13,34,2,134
31693,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,3,1,10,3,0,10,34,2,134
31703,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,8,2,5,8,1,5,34,2,134
31713,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,3,4,6,3,3,6,34,2,134
31723,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,5,1,1,5,0,1,34,2,134
31733,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,2,2,5,2,1,5,34,2,134
31743,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,2,2,0,2,1,0,34,2,134
31754,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,3,-2,-1,2,-2,0,34,2,135
31764,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,4,-2,0,3,-2,0,34,2,134
31774,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,7,-3,1,6,-3,1,34,2,134
31784,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,5,-7,2,4,-7,2,34,2,134
31794,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,3,-7,-5,2,-7,-4,34,2,134
31804,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,5,-7,-7,4,-7,-6,34,2,134
31814,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,3,-5,-5,2,-5,-4,34,2,134
31824,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,0,-3,1,0,-2,1,34,2,134
31835,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-2,-2,-4,-2,-1,-4,34,2,134
31845,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-3,-1,-8,-3,0,-8,34,2,134
31855,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-1,-1,-5,-1,0,-5,34,2,134
31865,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,0,-1,-6,0,-1,-5,34,2,134
31875,1.00,-0.00,-0.00,-0.01,1.69,0.11,-0.02,-4,2,-6,-3,2,-6,34,2,134
