id,gx,gy,gz,ax,ay,az,deg
257003,14.22,13.66,2.17,140,30,585,192.19
257013,14.23,13.66,2.18,149,28,582,192.15
257023,14.23,13.65,2.18,150,27,589,192.19
257033,14.23,13.65,2.18,149,29,586,192.17
257043,14.23,13.65,2.18,147,33,589,192.19
257053,14.23,13.66,2.18,144,31,583,192.19
257063,14.23,13.66,2.18,139,26,583,192.19
257073,14.23,13.66,2.18,137,32,577,192.19
257095,14.22,13.65,2.19,138,29,584,192.19
257104,14.22,13.65,2.19,142,27,588,192.17
257126,14.22,13.66,2.18,148,27,594,192.19
257136,14.22,13.66,2.18,147,25,591,192.19
257145,14.22,13.66,2.18,149,27,587,192.17
257164,14.22,13.65,2.19,144,23,586,192.19
257244,14.22,13.65,2.19,146,29,580,192.17
257254,14.22,13.65,2.19,147,27,585,192.17
257264,14.22,13.65,2.19,146,24,588,192.19
257275,14.22,13.65,2.19,144,28,586,192.17
257285,14.22,13.65,2.19,139,30,586,192.19
257294,14.22,13.65,2.19,135,28,585,192.19
257303,14.22,13.65,2.19,137,28,580,192.17
257404,14.22,13.65,2.19,138,18,586,192.17
257413,14.22,13.65,2.19,142,19,581,192.19
257434,14.22,13.65,2.19,148,19,586,192.17
257443,14.22,13.65,2.19,154,20,585,192.17
257453,14.22,13.65,2.19,154,24,586,192.19
257463,14.22,13.65,2.19,148,27,584,192.19
257554,14.22,13.65,2.19,144,31,577,192.19
257564,14.22,13.65,2.19,143,28,574,192.17
257574,14.22,13.65,2.19,141,27,580,192.19
257585,14.22,13.65,2.19,145,26,578,192.17
257595,14.22,13.65,2.19,146,25,580,192.19
257604,14.22,13.65,2.19,144,23,577,192.19
257613,14.22,13.65,2.19,144,21,566,192.19
257702,14.22,13.65,2.19,140,26,584,192.17
257714,14.22,13.65,2.19,139,24,587,192.19
257724,14.22,13.65,2.19,138,21,585,192.19
257733,14.22,13.65,2.19,133,24,586,192.17
257744,14.22,13.65,2.19,132,24,589,192.19
257754,14.22,13.65,2.19,133,24,587,192.19
257763,14.22,13.65,2.19,134,24,585,192.17
257864,14.22,13.65,2.19,141,19,585,192.19
257874,14.22,13.65,2.19,138,24,587,192.17
257884,14.22,13.65,2.19,139,28,582,192.19
257895,14.22,13.65,2.19,137,28,577,192.17
257904,14.22,13.65,2.19,134,25,576,192.17
257913,14.22,13.65,2.19,138,25,584,192.19
257923,14.22,13.65,2.19,138,25,581,192.17
258024,14.21,13.65,2.19,139,20,589,192.17
258034,14.21,13.65,2.19,140,22,594,192.19
258356,14.21,13.65,2.19,133,25,585,192.19
258367,14.21,13.65,2.19,130,24,589,192.17
258376,14.21,13.65,2.19,133,26,592,192.19
258385,14.21,13.65,2.19,136,23,590,192.19
258484,14.22,13.65,2.19,145,18,601,192.19
258494,14.22,13.65,2.19,143,18,600,192.19
258503,14.22,13.65,2.19,148,19,595,192.17
258515,14.22,13.65,2.19,150,20,595,192.19
258524,14.22,13.65,2.19,155,24,590,192.19
258533,14.22,13.65,2.19,148,21,582,192.17
258542,14.22,13.65,2.19,145,24,579,192.19
258663,14.21,13.64,2.18,141,20,589,192.19
258673,14.21,13.64,2.18,146,20,586,192.19
258682,14.21,13.64,2.18,145,22,593,192.19
258692,14.21,13.64,2.18,145,23,589,192.19
258702,14.21,13.64,2.18,141,28,589,192.19
258793,14.21,13.64,2.19,139,27,590,192.17
258803,14.21,13.64,2.19,140,24,593,192.17
258813,14.21,13.64,2.19,138,24,591,192.17
258823,14.21,13.64,2.19,138,21,593,192.19
258834,14.21,13.64,2.19,137,18,593,192.19
258844,14.21,13.64,2.19,138,18,591,192.19
258853,14.21,13.64,2.19,137,20,593,192.19
258862,14.21,13.64,2.19,140,23,595,192.19
258872,14.21,13.64,2.19,141,22,590,192.17
258882,14.21,13.64,2.19,142,23,586,192.17
258892,14.21,13.64,2.19,142,22,590,192.17
258902,14.21,13.64,2.19,140,20,584,192.19
258912,14.21,13.64,2.19,142,18,587,192.17
258924,14.21,13.64,2.19,138,16,595,192.15
258933,14.21,13.64,2.19,136,17,598,192.19
258942,14.21,13.64,2.18,143,18,600,192.19
